#char	type	display	source
ú	diacritic	lowercase	Dutch
Ú	diacritic	uppercase	Dutch
û	diacritic	lowercase	French and Frisian
Û	diacritic	uppercase	French and Frisian
ù	diacritic	lowercase	Latin
Ù	diacritic	uppercase	Latin
v	character	lowercase	Dutch
V	character	uppercase	Dutch
w	character	lowercase	Dutch
W	character	uppercase	Dutch
ξ	symbol	lowercase	Greek
Ξ	symbol	uppercase	Greek
#ₓ	symbol	subscript	mathematics
x	character	lowercase	Dutch
X	character	uppercase	Dutch
y	character	lowercase	Dutch
Y	character	uppercase	Dutch
ζ	symbol	lowercase	Greek
#Ζ	symbol	uppercase	Greek
z	character	lowercase	Dutch
Z	character	uppercase	Latin
